Nome,Presente em AD,Presente em DHCP,Presente em BitDefender,Presente em Kace
"LNIMP01",true,false,true,true
"LNVINTRANET02",true,false,true,true
"LN-CP-IDCOLLECTOR",true,false,true,true
"LNBITDEFENDER01",true,false,true,true
"LNSERVICOS01",true,false,true,false
"LNVSETOR02",true,false,true,true
"LNWDS01",true,false,true,true
"LNGERENCIA01",true,false,true,true
"LNCAM01",true,false,true,true
"LNVSETOR01",true,false,true,false
"LNBKP01",true,false,true,true
"LNVSETOR03",true,false,true,true
"LNSIHSRV01",true,false,true,true
"LNCOORDENACAO02",true,false,true,true
"LNPRES01",true,false,true,true
"LNINF06",true,false,false,true
"LNFMRI01",true,false,false,true
"LNAUDITORIO01",true,false,true,true
"LNBIOENG03",true,true,true,false
"LNINF07",true,false,true,true
"LNAUDITORIO02",true,false,true,true
"LNINFNOTE01",true,true,true,false
"LNLABMOV05",true,false,true,true
"LNCENOGRAFICA01",true,false,true,false
"LNCOLETA01",true,false,true,true
"LNRADSL02",true,false,true,true
"LNSECRETARIA02",true,false,true,true
"LNDR04",true,false,true,true
"LNRADSL03",true,false,true,true
"LNG10C01",true,false,false,false
"LNRISL04C01",true,false,false,false
"LNNUTRICAO05",true,false,true,false
"LNELO01",true,false,true,true
"LNAMBVD02",true,false,true,true
"LNG04C08",true,false,true,true
"LNSEC03",true,false,true,true
"LNDR03",true,false,true,true
"LNINFNOTE02",true,false,false,false
"LNCHAMADA00",true,false,false,false
"BSBDENSITOMETRO",true,false,true,false
"SEPF01D2D59BDFF",false,true,false,false
"S21-Ultra-de-Eduardo",false,true,false,false
"SpeedwayR-10-CF-E2",false,true,false,false
"dash",false,true,false,false
"android-8389623bbef38800",false,true,false,false
"iPad-2",false,true,false,false
"LNNUTRI01-FD",false,true,false,false
"android-e5810ba01d63f8be",false,true,false,false
"LNMANUT05",false,true,false,false
"ultimakersystem-ccbdd30068cc",false,true,false,false
"android-dddd41bff9c2c589",false,true,false,false
"ATA191",false,true,false,false
"ZBR10620581",false,true,false,false
"Galaxy-A12-de-Sarah",false,true,false,false
"SpeedwayR-10-CF-5D",false,true,false,false
"SpeedwayR-10-CF-59",false,true,false,false
"LNDRKINETIC01",false,true,false,false
"android-312a443df5204d23",false,true,false,false
"iPad-tomb-98460",false,true,false,false
"lnchamada00",false,true,false,false
"Galaxy-A12",false,true,false,false
"BAD_ADDRESS",false,true,false,false
"Galaxy-A31",false,true,false,false
"LN-ENF-PRINCIPAL2",false,true,false,false
"LN-ENF-INTERNO2",false,true,false,false
"SEPF01D2D59BE07",false,true,false,false
"Scherer-A52",false,true,false,false
"android-78f15da77e2de37f",false,true,false,false
"android-e0f89b0a530b21cc",false,true,false,false
"iPad-tomb-97226",false,true,false,false
"raspberrypi",false,true,false,false
"LN5D05",false,false,false,true
"LNDC01",false,false,false,true
"LNDC02",false,false,false,true
"LNServicos01",false,false,false,true
"LNvSetor01",false,false,false,true
"LNWSUS",false,false,false,true
